rsi_oversold,rsi_buy_exit,rsi_overbought,rsi_sell_exit,golden_cross,ma_short,ma_long,trades,win_rate,invested,profit,return_pct,avg_return,max_water
35,40,70,45,ON,50,200,12,100.0,30000,4651.771314871528,15.505904382905095,15.578539714165137,5
35,45,65,40,OFF,50,200,17,100.0,36000,4649.870784832341,12.916307735645391,11.333916244493661,9
35,45,65,40,OFF,40,200,17,100.0,36000,4649.870784832341,12.916307735645391,11.333916244493661,9
35,40,75,55,ON,50,200,10,100.0,30000,4595.444107650443,15.318147025501474,14.772856487488658,8
35,45,75,45,ON,50,200,10,100.0,28000,4543.52871516207,16.226888268435964,16.421199756759492,7
40,45,65,40,ON,50,200,16,100.0,41000,4478.671087174197,10.92358801749804,11.857152434169212,6
35,45,75,50,ON,50,200,10,100.0,28000,4462.298868816328,15.936781674344028,15.7917883283279,7
35,40,70,50,ON,50,200,12,100.0,30000,4426.426957168471,14.754756523894901,14.56022611799674,5
35,40,70,40,ON,40,200,12,100.0,28000,4356.424698881588,15.558659638862812,14.938508121190873,4
40,45,70,50,ON,40,200,14,100.0,38000,4349.573159703356,11.446245157114095,11.895727977101062,5
35,45,75,40,ON,50,200,10,100.0,28000,4341.204465570236,15.50430166275084,15.768179910246824,7
35,40,70,45,ON,40,200,12,100.0,28000,4293.9799059031875,15.335642521082812,14.890306775890885,4
35,45,75,45,ON,40,200,10,100.0,26000,4252.94818088238,16.35749300339377,16.221958798957157,6
35,40,75,55,ON,40,200,10,100.0,28000,4175.414033747302,14.912192977668933,14.447132012525326,7
40,45,65,45,ON,50,200,17,100.0,41000,4129.42594954426,10.071770608644536,10.488114042746432,6
35,45,75,50,ON,40,200,10,100.0,26000,4118.54793537866,15.840568982225617,15.60530159613252,6
40,45,65,40,ON,40,200,16,100.0,38000,4082.966317724016,10.744648204536885,11.556064646907913,5
35,45,75,40,ON,40,200,10,100.0,26000,4068.421256991718,15.647774065352763,15.57130436165924,6
35,45,75,55,ON,50,200,10,100.0,28000,4034.393670719204,14.408548823997155,13.734894659457888,7
35,40,70,50,ON,40,200,12,100.0,28000,4023.2376479910695,14.368705885682392,13.925414824492938,4
35,45,70,40,ON,50,200,12,100.0,28000,3988.502267392266,14.244650954972379,14.51097410431637,4
35,45,70,45,ON,50,200,12,100.0,28000,3950.664589276128,14.109516390271887,14.461797620001278,4
35,40,65,45,ON,50,200,15,100.0,30000,3927.069990291931,13.090233300973104,12.274494641596558,5
35,40,65,50,OFF,40,200,18,100.0,40000,3917.7832549285604,9.794458137321401,10.347461938566829,10
35,40,65,50,OFF,50,200,18,100.0,40000,3917.7832549285604,9.794458137321401,10.347461938566829,10
35,40,65,40,ON,50,200,15,100.0,30000,3914.550381207232,13.048501270690775,12.210913710722249,5
40,45,70,55,ON,50,200,14,100.0,41000,3876.9860030765917,9.456063422138028,9.927643727045437,6
40,45,65,50,ON,50,200,17,100.0,41000,3848.6809377314025,9.387026677393665,9.862976615903289,6
35,40,65,50,ON,50,200,15,100.0,30000,3762.9535587399214,12.543178529133069,11.703204451912535,5
35,45,70,40,ON,40,200,12,100.0,26000,3715.7190588137464,14.291227149283639,13.934520561188359,3
40,45,65,45,ON,40,200,17,100.0,38000,3702.082995669742,9.742323672815111,10.201654686248448,5
35,45,70,50,ON,50,200,12,100.0,28000,3684.7127246584173,13.15968830235149,13.457365091758644,4
35,45,75,55,ON,40,200,10,100.0,26000,3683.717255700094,14.168143291154209,13.549530087633041,6
35,45,70,45,ON,40,200,12,100.0,26000,3660.0840549964378,14.077246365370916,13.879264848642206,3
35,40,65,40,ON,40,200,15,100.0,28000,3574.9836240348545,12.767798657267338,11.666028148090334,4
35,40,65,45,ON,40,200,15,100.0,28000,3569.27858132359,12.747423504727106,11.72390829097716,4
35,40,70,55,ON,50,200,12,100.0,30000,3527.076885153597,11.756922950511989,12.032757848135725,5
40,45,70,55,ON,40,200,14,100.0,38000,3494.224817010414,9.19532846581688,9.599940673854363,5
40,45,65,50,ON,40,200,17,100.0,38000,3472.845233246667,9.139066403280701,9.593262007625077,5
35,40,65,50,ON,40,200,15,100.0,28000,3359.76424956252,11.999158034151858,11.1953554171095,4
35,45,70,50,ON,40,200,12,100.0,26000,3350.6900694356855,12.887269497829559,12.9305167569863,3
40,45,65,55,ON,50,200,17,100.0,41000,3281.662712209894,8.004055395633888,7.969445799802243,6
30,35,70,50,OFF,40,200,10,100.0,18000,3276.8248391714765,18.204582439841534,16.747213974617072,3
30,35,70,50,OFF,50,200,10,100.0,18000,3276.8248391714765,18.204582439841534,16.747213974617072,3
30,35,70,45,OFF,40,200,10,100.0,18000,3260.8636287013346,18.115909048340747,16.813279848376794,3
30,35,70,45,OFF,50,200,10,100.0,18000,3260.8636287013346,18.115909048340747,16.813279848376794,3
35,45,65,45,ON,50,200,15,100.0,28000,3229.7443009117815,11.534801074684934,11.376511502067975,4
35,45,65,40,ON,50,200,15,100.0,28000,3209.2393299376836,11.461569035491728,11.313982314539105,4
35,40,70,55,ON,40,200,12,100.0,28000,3116.7750894653927,11.131339605233546,11.398423610297774,4
30,35,70,40,OFF,50,200,10,100.0,18000,3115.4618235381777,17.308121241878766,16.262333050336473,3
30,35,70,40,OFF,40,200,10,100.0,18000,3115.4618235381777,17.308121241878766,16.262333050336473,3
30,35,65,45,OFF,50,200,11,100.0,18000,3060.5050101552224,17.002805611973457,15.676882037208612,3
30,35,65,45,OFF,40,200,11,100.0,18000,3060.5050101552224,17.002805611973457,15.676882037208612,3
35,45,65,50,ON,50,200,15,100.0,28000,3025.1183853140515,10.803994233264469,10.816593790820537,4
35,45,70,55,ON,50,200,12,100.0,28000,2974.279441184856,10.6224265756602,10.958486797210192,4
35,45,65,45,ON,40,200,15,100.0,26000,2939.1637666320908,11.304476025508041,10.910485284980718,3
35,45,65,40,ON,40,200,15,100.0,26000,2936.4561213591646,11.294062005227556,10.852819480036695,3
30,35,65,40,OFF,40,200,11,100.0,18000,2911.8099086312423,16.17672171461801,14.838693534713588,3
30,35,65,40,OFF,50,200,11,100.0,18000,2911.8099086312423,16.17672171461801,14.838693534713588,3
40,45,65,55,ON,40,200,17,100.0,38000,2898.901526143716,7.62868822669399,7.6995726971742995,5
35,45,65,50,OFF,50,200,18,100.0,36000,2849.858236212092,7.916272878366922,9.358841704489587,9
35,45,65,50,OFF,40,200,18,100.0,36000,2849.858236212092,7.916272878366922,9.358841704489587,9
30,40,70,45,OFF,40,200,10,100.0,17000,2816.018644112498,16.56481555360293,15.716150142112735,3
