rsi_oversold,rsi_buy_exit,rsi_overbought,rsi_sell_exit,golden_cross,ma_short,total_trades,win_rate,total_invested,total_profit,total_return,max_water
35,45,80,40,ON,40,6,100.0,23000,9063.965763942462,39.408546799749836,10
40,45,75,55,ON,40,11,100.0,43000,9013.934133872131,20.962637520632864,9
35,45,80,40,ON,50,6,100.0,23000,8985.084798446187,39.065586080200816,10
40,45,70,50,ON,40,15,100.0,43000,8854.947719302589,20.592901672796717,9
35,45,80,55,ON,40,6,100.0,23000,8853.65860082206,38.49416782966113,10
40,45,65,45,OFF,50,24,100.0,55000,8846.243680011457,16.08407941820265,6
40,45,65,45,OFF,40,24,100.0,55000,8846.243680011457,16.08407941820265,6
35,45,80,55,ON,50,6,100.0,23000,8777.23422870745,38.161887950901956,10
40,45,70,40,OFF,50,18,100.0,50000,8761.855013737919,17.52371002747584,13
40,45,70,40,OFF,40,18,100.0,50000,8761.855013737919,17.52371002747584,13
35,40,75,45,OFF,50,13,100.0,37000,8760.64591883882,23.677421402267083,6
35,40,75,45,OFF,40,13,100.0,37000,8760.64591883882,23.677421402267083,6
35,40,75,45,ON,50,11,100.0,33000,8667.073330005553,26.2638585757744,5
35,40,75,45,ON,40,11,100.0,32000,8544.55248248858,26.70172650777681,5
40,45,75,40,ON,40,10,100.0,40000,8401.016260734497,21.00254065183624,9
40,45,65,50,OFF,40,24,100.0,55000,8324.999373945111,15.13636249808202,6
40,45,65,50,OFF,50,24,100.0,55000,8324.999373945111,15.13636249808202,6
40,45,70,45,ON,40,15,100.0,43000,8304.145834701207,19.31196705744467,9
40,45,75,40,ON,50,10,100.0,39000,8155.212054081714,20.910800138671064,8
40,45,65,40,OFF,40,20,100.0,50000,8095.684688026127,16.191369376052258,13
40,45,65,40,OFF,50,20,100.0,50000,8095.684688026127,16.191369376052258,13
40,45,70,45,ON,50,15,100.0,42000,8064.025838526752,19.20006152030179,8
35,40,70,45,OFF,40,16,100.0,37000,8041.334149538705,21.733335539293797,6
35,40,70,45,OFF,50,16,100.0,37000,8041.334149538705,21.733335539293797,6
35,40,70,45,ON,50,13,100.0,33000,7920.23053382599,24.000698587351486,5
35,40,75,55,OFF,40,13,100.0,37000,7852.709598377772,21.22353945507506,6
35,40,75,55,OFF,50,13,100.0,37000,7852.709598377772,21.22353945507506,6
