rsi_oversold,rsi_buy_exit,rsi_overbought,rsi_sell_exit,golden_cross,ma_short,total_trades,win_rate,total_invested,total_profit,total_return,max_water
35,40,80,45,ON,40,5,100.0,21000,16323.438504939046,77.73065954732878,8
35,40,80,45,ON,50,5,100.0,21000,16192.6133636634,77.10768268411144,8
35,40,80,50,ON,40,5,100.0,21000,15966.172856793968,76.02939455616176,8
35,40,80,50,ON,50,5,100.0,21000,15834.461663556353,75.40219839788739,8
35,40,80,55,ON,40,5,100.0,21000,15805.153944736132,75.26263783207682,8
35,40,80,55,ON,50,5,100.0,21000,15677.776012366483,74.6560762493642,8
35,40,80,40,ON,40,5,100.0,21000,14967.218803834703,71.27247049445097,8
40,45,75,45,OFF,50,13,100.0,55000,14913.77256752424,27.11595012277134,11
40,45,75,45,OFF,40,13,100.0,55000,14913.77256752424,27.11595012277134,11
35,40,80,40,ON,50,5,100.0,21000,14840.967197759534,70.67127237028349,8
40,45,75,40,OFF,50,13,100.0,55000,14715.356767056248,26.75519412192045,11
40,45,75,40,OFF,40,13,100.0,55000,14715.356767056248,26.75519412192045,11
40,45,75,50,OFF,50,13,100.0,55000,14396.492220551323,26.175440401002405,11
40,45,75,50,OFF,40,13,100.0,55000,14396.492220551323,26.175440401002405,11
40,45,75,55,OFF,50,13,100.0,55000,13190.133208182433,23.982060378513516,11
40,45,75,55,OFF,40,13,100.0,55000,13190.133208182433,23.982060378513516,11
35,45,80,45,ON,50,5,100.0,18000,12431.40301035738,69.063350057541,6
35,45,80,50,ON,50,5,100.0,18000,12263.880502025097,68.13266945569498,6
35,45,80,55,ON,50,5,100.0,18000,12110.40430568079,67.28002392044883,6
35,45,80,45,ON,40,5,100.0,17000,11586.667593733713,68.15686819843361,5
35,45,80,50,ON,40,5,100.0,17000,11420.031137363392,67.17665374919642,5
35,45,80,40,ON,50,5,100.0,18000,11402.357470450963,63.346430391394236,6
35,45,80,55,ON,40,5,100.0,17000,11250.098851883058,66.17705206990034,5
30,35,80,45,OFF,40,5,100.0,10000,11068.724153581024,110.68724153581024,5
30,35,80,45,OFF,50,5,100.0,10000,11068.724153581024,110.68724153581024,5
30,35,80,50,OFF,50,5,100.0,10000,10782.262598685382,107.82262598685381,5
30,35,80,50,OFF,40,5,100.0,10000,10782.262598685382,107.82262598685381,5
30,35,80,55,OFF,40,5,100.0,10000,10724.1843964279,107.241843964279,5
30,35,80,55,OFF,50,5,100.0,10000,10724.1843964279,107.241843964279,5
35,45,80,40,ON,40,5,100.0,17000,10600.296712833884,62.35468654608167,5
30,35,80,40,OFF,50,5,100.0,10000,10258.31861606433,102.58318616064331,5
30,35,80,40,OFF,40,5,100.0,10000,10258.31861606433,102.58318616064331,5
40,45,70,40,OFF,40,18,100.0,55000,10245.469320977105,18.62812603814019,11
40,45,70,40,OFF,50,18,100.0,55000,10245.469320977105,18.62812603814019,11
40,45,70,45,OFF,40,18,100.0,55000,9976.244737319446,18.138626795126267,11
40,45,70,45,OFF,50,18,100.0,55000,9976.244737319446,18.138626795126267,11
40,45,65,40,OFF,40,21,100.0,55000,9788.796779723349,17.797812326769723,10
40,45,65,40,OFF,50,21,100.0,55000,9788.796779723349,17.797812326769723,10
35,40,75,45,OFF,50,10,100.0,29000,9719.26375020363,33.514702586909074,8
35,40,75,45,OFF,40,10,100.0,29000,9719.26375020363,33.514702586909074,8
30,40,80,45,OFF,50,5,100.0,9000,9622.267475422952,106.91408306025502,4
30,40,80,45,OFF,40,5,100.0,9000,9622.267475422952,106.91408306025502,4
35,40,75,50,OFF,40,10,100.0,29000,9480.26539219343,32.69057031790838,8
35,40,75,50,OFF,50,10,100.0,29000,9480.26539219343,32.69057031790838,8
